,Date,Price
0,2014-09-17,465.864014
1,2014-09-18,456.859985
2,2014-09-19,424.102997
3,2014-09-20,394.673004
4,2014-09-21,408.084991
5,2014-09-22,399.100006
6,2014-09-23,402.09201
7,2014-09-24,435.751007
8,2014-09-25,423.156006
9,2014-09-26,411.428986
10,2014-09-27,403.556
11,2014-09-28,399.471008
12,2014-09-29,376.928009
13,2014-09-30,376.088013
14,2014-10-01,387.427002
15,2014-10-02,383.988007
16,2014-10-03,375.181
17,2014-10-04,359.891998
18,2014-10-05,328.915985
19,2014-10-06,320.389008
20,2014-10-07,330.584015
21,2014-10-08,336.115997
22,2014-10-09,352.747986
23,2014-10-10,364.687012
24,2014-10-11,361.362
25,2014-10-12,362.605988
26,2014-10-13,377.92099
27,2014-10-14,391.691986
28,2014-10-15,400.954987
29,2014-10-16,394.518005
30,2014-10-17,382.756012
31,2014-10-18,383.976013
32,2014-10-19,391.253998
33,2014-10-20,389.230988
34,2014-10-21,382.42099
35,2014-10-22,386.118011
36,2014-10-23,382.962006
37,2014-10-24,358.591003
38,2014-10-25,358.610992
39,2014-10-26,347.487
40,2014-10-27,354.777008
41,2014-10-28,353.214996
42,2014-10-29,357.088989
43,2014-10-30,335.709015
44,2014-10-31,345.009003
45,2014-11-01,338.649994
46,2014-11-02,326.075012
47,2014-11-03,325.569
48,2014-11-04,327.161011
49,2014-11-05,330.683014
50,2014-11-06,339.458008
51,2014-11-07,349.817993
52,2014-11-08,342.153992
53,2014-11-09,345.376007
54,2014-11-10,362.265015
55,2014-11-11,365.856995
56,2014-11-12,367.984985
57,2014-11-13,427.27301
58,2014-11-14,418.416992
59,2014-11-15,399.649994
60,2014-11-16,374.730011
61,2014-11-17,388.348999
62,2014-11-18,387.785004
63,2014-11-19,373.895996
64,2014-11-20,380.307007
65,2014-11-21,357.878998
66,2014-11-22,351.604004
67,2014-11-23,353.174988
68,2014-11-24,366.947998
69,2014-11-25,376.885986
70,2014-11-26,376.019012
71,2014-11-27,370.502014
72,2014-11-28,369.373993
73,2014-11-29,376.152008
74,2014-11-30,375.51001
75,2014-12-01,378.248993
76,2014-12-02,379.25
77,2014-12-03,381.721985
78,2014-12-04,375.717987
79,2014-12-05,369.441986
80,2014-12-06,376.756989
81,2014-12-07,374.835999
82,2014-12-08,374.964996
83,2014-12-09,361.894989
84,2014-12-10,352.204987
85,2014-12-11,344.339996
86,2014-12-12,350.833008
87,2014-12-13,352.381012
88,2014-12-14,346.72699
89,2014-12-15,351.360992
90,2014-12-16,345.673004
91,2014-12-17,326.855011
92,2014-12-18,319.785004
93,2014-12-19,311.178986
94,2014-12-20,317.618988
95,2014-12-21,329.542999
96,2014-12-22,321.067993
97,2014-12-23,332.016998
98,2014-12-24,334.38501
99,2014-12-25,322.286011
100,2014-12-26,319.152008
101,2014-12-27,327.583008
102,2014-12-28,316.160004
103,2014-12-29,317.700989
104,2014-12-30,312.718994
105,2014-12-31,310.914001
106,2015-01-01,320.434998
107,2015-01-02,314.07901
108,2015-01-03,314.846008
109,2015-01-04,281.145996
110,2015-01-05,265.084015
111,2015-01-06,274.610992
112,2015-01-07,286.076996
113,2015-01-08,294.13501
114,2015-01-09,282.382996
115,2015-01-10,287.303009
116,2015-01-11,274.608002
117,2015-01-12,266.145996
118,2015-01-13,267.394012
119,2015-01-14,223.893997
120,2015-01-15,176.897003
121,2015-01-16,209.070007
122,2015-01-17,207.834
123,2015-01-18,200.050003
124,2015-01-19,211.470993
125,2015-01-20,212.906998
126,2015-01-21,211.378006
127,2015-01-22,227.322006
128,2015-01-23,233.516998
129,2015-01-24,232.699997
130,2015-01-25,247.352005
131,2015-01-26,254.078995
132,2015-01-27,273.166992
133,2015-01-28,263.351013
134,2015-01-29,233.348007
135,2015-01-30,232.772003
136,2015-01-31,226.440994
137,2015-02-01,216.867004
138,2015-02-02,226.490997
139,2015-02-03,237.453995
140,2015-02-04,227.511002
141,2015-02-05,227.664993
142,2015-02-06,216.923004
143,2015-02-07,222.632996
144,2015-02-08,227.692993
145,2015-02-09,223.389008
146,2015-02-10,220.281998
147,2015-02-11,219.731995
148,2015-02-12,219.207993
149,2015-02-13,221.968994
150,2015-02-14,235.528
151,2015-02-15,257.506989
152,2015-02-16,234.824997
153,2015-02-17,233.421997
154,2015-02-18,243.779999
155,2015-02-19,236.410004
156,2015-02-20,240.251007
157,2015-02-21,243.751999
158,2015-02-22,244.544006
159,2015-02-23,235.994995
160,2015-02-24,238.998001
161,2015-02-25,238.889999
162,2015-02-26,237.337006
163,2015-02-27,236.436005
164,2015-02-28,253.520004
165,2015-03-01,254.283005
166,2015-03-02,260.356995
167,2015-03-03,275.04599
168,2015-03-04,281.98999
169,2015-03-05,272.739014
170,2015-03-06,275.600006
171,2015-03-07,272.294006
172,2015-03-08,276.433014
173,2015-03-09,274.812012
174,2015-03-10,289.862
175,2015-03-11,291.524994
176,2015-03-12,296.127014
177,2015-03-13,294.118011
178,2015-03-14,284.441986
179,2015-03-15,281.424988
180,2015-03-16,285.684998
181,2015-03-17,290.595001
182,2015-03-18,285.066986
183,2015-03-19,255.880005
184,2015-03-20,260.955994
185,2015-03-21,261.644012
186,2015-03-22,259.916992
187,2015-03-23,267.894989
188,2015-03-24,266.576996
189,2015-03-25,247.472
190,2015-03-26,246.276001
191,2015-03-27,248.565994
192,2015-03-28,246.975006
193,2015-03-29,252.740005
194,2015-03-30,242.878998
195,2015-03-31,247.453995
196,2015-04-01,244.223007
197,2015-04-02,247.089005
198,2015-04-03,253.074005
199,2015-04-04,254.291
200,2015-04-05,253.761002
201,2015-04-06,260.721008
202,2015-04-07,255.274002
203,2015-04-08,253.063995
204,2015-04-09,244.751007
205,2015-04-10,243.694
206,2015-04-11,236.016006
207,2015-04-12,236.535004
208,2015-04-13,235.949997
209,2015-04-14,224.759003
210,2015-04-15,219.072998
211,2015-04-16,223.917007
212,2015-04-17,228.574997
213,2015-04-18,222.852997
214,2015-04-19,223.455994
215,2015-04-20,222.612
216,2015-04-21,224.619995
217,2015-04-22,235.602005
218,2015-04-23,234.052994
219,2015-04-24,235.970001
220,2015-04-25,231.235001
221,2015-04-26,226.410004
222,2015-04-27,219.429001
223,2015-04-28,228.968994
224,2015-04-29,225.591003
225,2015-04-30,225.692993
226,2015-05-01,235.938995
227,2015-05-02,232.341003
228,2015-05-03,234.880005
229,2015-05-04,240.356003
230,2015-05-05,238.852005
231,2015-05-06,236.248993
232,2015-05-07,229.662003
233,2015-05-08,237.203995
234,2015-05-09,243.768997
235,2015-05-10,241.729004
236,2015-05-11,240.298996
237,2015-05-12,242.145004
238,2015-05-13,241.397995
239,2015-05-14,236.214005
240,2015-05-15,236.955002
241,2015-05-16,237.643997
242,2015-05-17,236.009995
243,2015-05-18,236.886993
244,2015-05-19,233.037003
245,2015-05-20,231.889999
246,2015-05-21,234.016006
247,2015-05-22,235.320999
248,2015-05-23,240.285995
249,2015-05-24,238.975998
250,2015-05-25,240.927002
251,2015-05-26,237.104004
252,2015-05-27,237.065002
253,2015-05-28,237.257004
254,2015-05-29,237.376999
255,2015-05-30,237.091995
256,2015-05-31,233.134995
257,2015-06-01,230.233002
258,2015-06-02,222.893997
259,2015-06-03,225.735992
260,2015-06-04,225.772003
261,2015-06-05,224.154007
262,2015-06-06,225.005005
263,2015-06-07,225.595993
264,2015-06-08,222.878998
265,2015-06-09,228.537994
266,2015-06-10,228.994995
267,2015-06-11,228.854996
268,2015-06-12,229.705002
269,2015-06-13,229.919998
270,2015-06-14,232.442001
271,2015-06-15,233.421997
272,2015-06-16,236.764999
273,2015-06-17,250.822998
274,2015-06-18,249.427994
275,2015-06-19,249.042999
276,2015-06-20,244.529999
277,2015-06-21,245.100006
278,2015-06-22,243.968994
279,2015-06-23,246.927002
280,2015-06-24,244.281998
281,2015-06-25,240.365005
282,2015-06-26,242.604004
283,2015-06-27,243.548996
284,2015-06-28,250.955002
285,2015-06-29,248.720993
286,2015-06-30,257.036011
287,2015-07-01,263.345001
288,2015-07-02,258.552002
289,2015-07-03,255.459
290,2015-07-04,256.490997
291,2015-07-05,260.804993
292,2015-07-06,271.108002
293,2015-07-07,269.963013
294,2015-07-08,265.981995
295,2015-07-09,270.826996
296,2015-07-10,269.156006
297,2015-07-11,284.880005
298,2015-07-12,293.140015
299,2015-07-13,310.826996
300,2015-07-14,292.033997
301,2015-07-15,288.045013
302,2015-07-16,286.041992
303,2015-07-17,278.091003
304,2015-07-18,279.330994
305,2015-07-19,274.766998
306,2015-07-20,273.498993
307,2015-07-21,278.881989
308,2015-07-22,275.657013
309,2015-07-23,277.341003
310,2015-07-24,276.005005
311,2015-07-25,288.164001
312,2015-07-26,288.640015
313,2015-07-27,292.639008
314,2015-07-28,293.632996
315,2015-07-29,294.484009
316,2015-07-30,289.102997
317,2015-07-31,287.696014
318,2015-08-01,284.686005
319,2015-08-02,280.449005
320,2015-08-03,282.806
321,2015-08-04,281.225006
322,2015-08-05,284.846985
323,2015-08-06,281.906006
324,2015-08-07,278.740997
325,2015-08-08,279.742004
326,2015-08-09,261.115997
327,2015-08-10,265.477997
328,2015-08-11,264.34201
329,2015-08-12,270.597992
330,2015-08-13,266.183014
331,2015-08-14,264.131989
332,2015-08-15,265.528992
333,2015-08-16,261.865997
334,2015-08-17,258.48999
335,2015-08-18,257.925995
336,2015-08-19,225.671005
337,2015-08-20,226.899002
338,2015-08-21,235.354996
339,2015-08-22,232.662003
340,2015-08-23,230.376007
341,2015-08-24,228.112
342,2015-08-25,210.067993
343,2015-08-26,222.076004
344,2015-08-27,226.050003
345,2015-08-28,224.701004
346,2015-08-29,231.548996
347,2015-08-30,229.895004
348,2015-08-31,229.113998
349,2015-09-01,230.255997
350,2015-09-02,228.026993
351,2015-09-03,229.324005
352,2015-09-04,227.214996
353,2015-09-05,230.199005
354,2015-09-06,234.869995
355,2015-09-07,239.934006
356,2015-09-08,239.845993
357,2015-09-09,243.414993
358,2015-09-10,238.335999
359,2015-09-11,238.328995
360,2015-09-12,239.854996
361,2015-09-13,235.242004
362,2015-09-14,230.608994
363,2015-09-15,230.492004
364,2015-09-16,230.25
365,2015-09-17,229.076004
366,2015-09-18,233.520996
367,2015-09-19,232.858002
368,2015-09-20,231.399002
369,2015-09-21,231.216995
370,2015-09-22,226.968994
371,2015-09-23,230.936005
372,2015-09-24,230.358002
373,2015-09-25,234.362
374,2015-09-26,235.076004
375,2015-09-27,234.139008
376,2015-09-28,232.835999
377,2015-09-29,239.016006
378,2015-09-30,236.639999
379,2015-10-01,236.003998
380,2015-10-02,237.264008
381,2015-10-03,237.201996
382,2015-10-04,238.531006
383,2015-10-05,238.147003
384,2015-10-06,240.363998
385,2015-10-07,246.169998
386,2015-10-08,243.074997
387,2015-10-09,242.498001
388,2015-10-10,243.740005
389,2015-10-11,244.742004
390,2015-10-12,246.875
391,2015-10-13,245.199997
392,2015-10-14,249.492996
393,2015-10-15,252.106995
394,2015-10-16,254.296005
