Date,FG,Price,,
08/04/2023,61,27920.51367,,173%
07/04/2023,64,28038.9668,,
06/04/2023,63,28175.22656,,
05/04/2023,62,28169.72656,,
04/04/2023,62,27795.27344,,
03/04/2023,63,28183.08008,,
02/04/2023,63,28462.8457,,
01/04/2023,61,28473.33203,,
31/03/2023,63,28032.26172,,
30/03/2023,60,28350.14063,,
29/03/2023,57,27267.03125,,
28/03/2023,59,27132.88867,,
27/03/2023,64,27994.06836,,
26/03/2023,64,27495.52344,,
25/03/2023,64,27487.33789,,
24/03/2023,61,28324.11133,,
23/03/2023,57,27301.95703,,
22/03/2023,62,28158.7207,,
21/03/2023,68,27768.39258,,
20/03/2023,66,28041.60156,,
19/03/2023,63,26969.50391,,
18/03/2023,64,27448.11719,,
17/03/2023,51,25055.12305,,
16/03/2023,52,24373.45703,,
15/03/2023,50,24770.92578,,
14/03/2023,56,24201.76563,,
13/03/2023,49,22156.40625,,
12/03/2023,33,20628.0293,,
11/03/2023,33,20187.87695,,
10/03/2023,34,20367.00195,,
09/03/2023,44,21720.08008,,
08/03/2023,50,22216.44141,,
07/03/2023,49,22428.32227,,
06/03/2023,48,22436.81641,,
05/03/2023,47,22354.14453,,
04/03/2023,50,22362.92383,,
03/03/2023,50,23476.63281,,
02/03/2023,51,23647.01953,,
01/03/2023,50,23150.92969,,
28/02/2023,53,23521.83789,,
27/02/2023,50,23561.45117,,
26/02/2023,51,23174.15039,,
25/02/2023,52,23200.125,,
24/02/2023,53,23946.00781,,
23/02/2023,56,24190.71875,,
22/02/2023,59,24437.41797,,
21/02/2023,60,24833.04883,,
20/02/2023,58,24336.62305,,
19/02/2023,60,24640.02734,,
18/02/2023,60,24565.29688,,
17/02/2023,61,23621.2832,,
16/02/2023,62,24307.34961,,
15/02/2023,53,22220.58594,,
14/02/2023,50,21801.82227,,
13/02/2023,48,21787,,
12/02/2023,50,21870.90234,,
11/02/2023,49,21651.8418,,
10/02/2023,48,21819.00586,,
09/02/2023,55,22946.56641,,
08/02/2023,58,23263.41602,,
07/02/2023,54,22757.26758,,
06/02/2023,56,22954.02148,,
05/02/2023,58,23332.24805,,
04/02/2023,58,23446.32031,,
03/02/2023,60,23469.41211,,
02/02/2023,60,23720.82422,,
01/02/2023,56,23137.83594,,
31/01/2023,51,22840.79688,,
30/01/2023,61,23774.64844,,
29/01/2023,55,23031.44922,,
28/01/2023,52,23079.96484,,
27/01/2023,55,23030.7168,,
26/01/2023,54,23108.95508,,
25/01/2023,51,22639.26758,,
24/01/2023,52,22929.62695,,
23/01/2023,50,22721.08789,,
22/01/2023,53,22777.98633,,
21/01/2023,53,22677.42773,,
20/01/2023,51,21085.37305,,
19/01/2023,45,20686.74609,,
18/01/2023,52,21161.05078,,
17/01/2023,51,21175.83398,,
16/01/2023,45,20882.22461,,
15/01/2023,52,20977.48438,,
14/01/2023,46,19910.53711,,
13/01/2023,31,18868.90625,,
12/01/2023,30,18117.59375,,
11/01/2023,26,17446.35938,,
10/01/2023,26,17192.94922,,
09/01/2023,25,17093.99219,,
08/01/2023,25,16954.14648,,
07/01/2023,25,16952.11719,,
06/01/2023,26,16836.47266,,
05/01/2023,29,16863.47266,,
04/01/2023,29,16680.20508,,
03/01/2023,26,16688.84766,,
02/01/2023,27,16625.50977,,
01/01/2023,26,16547.91406,,
31/12/2022,25,16603.67383,,
30/12/2022,28,16641.33008,,
29/12/2022,28,16552.32227,,
28/12/2022,28,16716.40039,,
27/12/2022,27,16919.29102,,
26/12/2022,28,16842.25,,
25/12/2022,29,16847.50586,,
24/12/2022,29,16796.97656,,
23/12/2022,27,16829.64453,,
22/12/2022,28,16818.38086,,
21/12/2022,26,16904.52734,,
20/12/2022,29,16441.78711,,
19/12/2022,29,16759.04102,,
18/12/2022,26,16795.60938,,
17/12/2022,28,16646.98242,,
16/12/2022,29,17364.54688,,
15/12/2022,31,17813.64453,,
14/12/2022,30,17782.06641,,
13/12/2022,27,17206.44141,,
12/12/2022,27,17102.5,,
11/12/2022,26,17129.71094,,
10/12/2022,27,17134.2207,,
09/12/2022,26,17232.14844,,
08/12/2022,25,16847.34961,,
07/12/2022,29,17089.50586,,
06/12/2022,25,16975.23828,,
05/12/2022,26,17128.89453,,
04/12/2022,26,16908.16992,,
03/12/2022,27,17090.09766,,
02/12/2022,27,16968.68359,,
01/12/2022,27,17168.00195,,
30/11/2022,29,16445.47656,,
29/11/2022,26,16217.63965,,
28/11/2022,28,16440.22266,,
27/11/2022,26,16463.88281,,
26/11/2022,22,16521.57617,,
25/11/2022,20,16602.26953,,
24/11/2022,20,16611.63672,,
23/11/2022,22,16195.58887,,
22/11/2022,22,15782.30078,,
21/11/2022,21,16291.22363,,
20/11/2022,24,16712.91992,,
19/11/2022,23,16696.2207,,
18/11/2022,23,16687.91211,,
17/11/2022,20,16670.42578,,
