,Date,FG
0,2023-04-08,61
1,2023-04-07,64
2,2023-04-06,63
3,2023-04-05,62
4,2023-04-04,62
5,2023-04-03,63
6,2023-04-02,63
7,2023-04-01,61
8,2023-03-31,63
9,2023-03-30,60
10,2023-03-29,57
11,2023-03-28,59
12,2023-03-27,64
13,2023-03-26,64
14,2023-03-25,64
15,2023-03-24,61
16,2023-03-23,57
17,2023-03-22,62
18,2023-03-21,68
19,2023-03-20,66
20,2023-03-19,63
21,2023-03-18,64
22,2023-03-17,51
23,2023-03-16,52
24,2023-03-15,50
25,2023-03-14,56
26,2023-03-13,49
27,2023-03-12,33
28,2023-03-11,33
29,2023-03-10,34
30,2023-03-09,44
31,2023-03-08,50
32,2023-03-07,49
33,2023-03-06,48
34,2023-03-05,47
35,2023-03-04,50
36,2023-03-03,50
37,2023-03-02,51
38,2023-03-01,50
39,2023-02-28,53
40,2023-02-27,50
41,2023-02-26,51
42,2023-02-25,52
43,2023-02-24,53
44,2023-02-23,56
45,2023-02-22,59
46,2023-02-21,60
47,2023-02-20,58
48,2023-02-19,60
49,2023-02-18,60
50,2023-02-17,61
51,2023-02-16,62
52,2023-02-15,53
53,2023-02-14,50
54,2023-02-13,48
55,2023-02-12,50
56,2023-02-11,49
57,2023-02-10,48
58,2023-02-09,55
59,2023-02-08,58
60,2023-02-07,54
61,2023-02-06,56
62,2023-02-05,58
63,2023-02-04,58
64,2023-02-03,60
65,2023-02-02,60
66,2023-02-01,56
67,2023-01-31,51
68,2023-01-30,61
69,2023-01-29,55
70,2023-01-28,52
71,2023-01-27,55
72,2023-01-26,54
73,2023-01-25,51
74,2023-01-24,52
75,2023-01-23,50
76,2023-01-22,53
77,2023-01-21,53
78,2023-01-20,51
79,2023-01-19,45
80,2023-01-18,52
81,2023-01-17,51
82,2023-01-16,45
83,2023-01-15,52
84,2023-01-14,46
85,2023-01-13,31
86,2023-01-12,30
87,2023-01-11,26
88,2023-01-10,26
89,2023-01-09,25
90,2023-01-08,25
91,2023-01-07,25
92,2023-01-06,26
93,2023-01-05,29
94,2023-01-04,29
95,2023-01-03,26
96,2023-01-02,27
97,2023-01-01,26
98,2022-12-31,25
99,2022-12-30,28
100,2022-12-29,28
101,2022-12-28,28
102,2022-12-27,27
103,2022-12-26,28
104,2022-12-25,29
105,2022-12-24,29
106,2022-12-23,27
107,2022-12-22,28
108,2022-12-21,26
109,2022-12-20,29
110,2022-12-19,29
111,2022-12-18,26
112,2022-12-17,28
113,2022-12-16,29
114,2022-12-15,31
115,2022-12-14,30
116,2022-12-13,27
117,2022-12-12,27
118,2022-12-11,26
119,2022-12-10,27
120,2022-12-09,26
121,2022-12-08,25
122,2022-12-07,29
123,2022-12-06,25
124,2022-12-05,26
125,2022-12-04,26
126,2022-12-03,27
127,2022-12-02,27
128,2022-12-01,27
129,2022-11-30,29
130,2022-11-29,26
131,2022-11-28,28
132,2022-11-27,26
133,2022-11-26,22
134,2022-11-25,20
135,2022-11-24,20
136,2022-11-23,22
137,2022-11-22,22
138,2022-11-21,21
139,2022-11-20,24
140,2022-11-19,23
141,2022-11-18,23
142,2022-11-17,20
143,2022-11-16,23
144,2022-11-15,22
145,2022-11-14,24
146,2022-11-13,22
147,2022-11-12,21
148,2022-11-11,25
149,2022-11-10,22
150,2022-11-09,29
151,2022-11-08,31
152,2022-11-07,33
153,2022-11-06,40
154,2022-11-05,38
155,2022-11-04,30
156,2022-11-03,30
157,2022-11-02,30
158,2022-11-01,30
159,2022-10-31,31
160,2022-10-30,34
161,2022-10-29,34
162,2022-10-28,30
163,2022-10-27,32
164,2022-10-26,33
165,2022-10-25,20
166,2022-10-24,22
167,2022-10-23,23
168,2022-10-22,20
169,2022-10-21,23
170,2022-10-20,23
171,2022-10-19,23
172,2022-10-18,22
173,2022-10-17,20
174,2022-10-16,24
175,2022-10-15,24
176,2022-10-14,24
177,2022-10-13,20
178,2022-10-12,20
179,2022-10-11,24
180,2022-10-10,22
181,2022-10-09,22
182,2022-10-08,24
183,2022-10-07,23
184,2022-10-06,26
185,2022-10-05,25
186,2022-10-04,20
187,2022-10-03,24
188,2022-10-02,24
189,2022-10-01,20
190,2022-09-30,21
191,2022-09-29,22
192,2022-09-28,20
193,2022-09-27,20
194,2022-09-26,21
195,2022-09-25,24
196,2022-09-24,24
197,2022-09-23,20
198,2022-09-22,22
199,2022-09-21,23
200,2022-09-20,23
201,2022-09-19,21
202,2022-09-18,27
203,2022-09-17,22
204,2022-09-16,20
205,2022-09-15,28
206,2022-09-14,27
207,2022-09-13,34
208,2022-09-12,25
209,2022-09-11,26
210,2022-09-10,28
211,2022-09-09,22
212,2022-09-08,20
213,2022-09-07,24
214,2022-09-06,22
215,2022-09-05,23
216,2022-09-04,20
217,2022-09-03,21
218,2022-09-02,25
219,2022-09-01,20
220,2022-08-31,23
221,2022-08-30,27
222,2022-08-29,24
223,2022-08-28,28
224,2022-08-27,28
225,2022-08-26,27
226,2022-08-25,25
227,2022-08-24,25
228,2022-08-23,28
229,2022-08-22,29
230,2022-08-21,27
231,2022-08-20,29
232,2022-08-19,33
233,2022-08-18,30
234,2022-08-17,41
235,2022-08-16,44
236,2022-08-15,45
237,2022-08-14,47
238,2022-08-13,46
239,2022-08-12,42
240,2022-08-11,41
241,2022-08-10,31
242,2022-08-09,42
243,2022-08-08,30
244,2022-08-07,30
245,2022-08-06,31
246,2022-08-05,31
247,2022-08-04,30
248,2022-08-03,34
249,2022-08-02,31
250,2022-08-01,33
251,2022-07-31,39
252,2022-07-30,42
253,2022-07-29,39
254,2022-07-28,32
255,2022-07-27,28
256,2022-07-26,26
257,2022-07-25,30
258,2022-07-24,30
259,2022-07-23,31
260,2022-07-22,33
261,2022-07-21,34
262,2022-07-20,31
263,2022-07-19,30
264,2022-07-18,20
265,2022-07-17,24
266,2022-07-16,21
267,2022-07-15,15
268,2022-07-14,18
269,2022-07-13,15
270,2022-07-12,16
271,2022-07-11,22
272,2022-07-10,24
273,2022-07-09,24
274,2022-07-08,20
275,2022-07-07,18
276,2022-07-06,18
277,2022-07-05,19
278,2022-07-04,14
279,2022-07-03,11
280,2022-07-02,14
281,2022-07-01,11
282,2022-06-30,11
283,2022-06-29,13
284,2022-06-28,10
285,2022-06-27,12
286,2022-06-26,14
287,2022-06-25,14
288,2022-06-24,11
289,2022-06-23,11
290,2022-06-22,11
291,2022-06-21,9
292,2022-06-20,9
293,2022-06-19,6
294,2022-06-18,6
295,2022-06-17,9
296,2022-06-16,7
297,2022-06-15,7
298,2022-06-14,8
299,2022-06-13,11
300,2022-06-12,14
301,2022-06-11,12
302,2022-06-10,13
303,2022-06-09,11
304,2022-06-08,17
305,2022-06-07,15
306,2022-06-06,13
307,2022-06-05,10
308,2022-06-04,14
309,2022-06-03,10
310,2022-06-02,13
311,2022-06-01,17
312,2022-05-31,16
313,2022-05-30,10
314,2022-05-29,14
315,2022-05-28,13
316,2022-05-27,12
317,2022-05-26,12
318,2022-05-25,11
319,2022-05-24,12
320,2022-05-23,10
321,2022-05-22,14
322,2022-05-21,13
323,2022-05-20,13
324,2022-05-19,13
325,2022-05-18,12
326,2022-05-17,8
327,2022-05-16,14
328,2022-05-15,10
329,2022-05-14,9
330,2022-05-13,10
331,2022-05-12,12
332,2022-05-11,12
333,2022-05-10,10
334,2022-05-09,11
335,2022-05-08,18
336,2022-05-07,23
337,2022-05-06,22
338,2022-05-05,27
339,2022-05-04,21
340,2022-05-03,27
341,2022-05-02,28
342,2022-05-01,22
343,2022-04-30,20
344,2022-04-29,23
345,2022-04-28,24
346,2022-04-27,21
347,2022-04-26,27
348,2022-04-25,23
349,2022-04-24,24
350,2022-04-23,24
351,2022-04-22,26
352,2022-04-21,27
353,2022-04-20,27
354,2022-04-19,27
355,2022-04-18,24
356,2022-04-17,28
357,2022-04-16,28
358,2022-04-15,22
359,2022-04-14,28
360,2022-04-13,25
361,2022-04-12,20
362,2022-04-11,32
363,2022-04-10,34
364,2022-04-09,30
365,2022-04-08,37
366,2022-04-07,34
367,2022-04-06,48
368,2022-04-05,53
369,2022-04-04,52
370,2022-04-03,48
371,2022-04-02,52
372,2022-04-01,50
373,2022-03-31,52
374,2022-03-30,55
375,2022-03-29,56
376,2022-03-28,60
377,2022-03-27,49
378,2022-03-26,51
379,2022-03-25,47
380,2022-03-24,40
381,2022-03-23,31
382,2022-03-22,26
383,2022-03-21,30
384,2022-03-20,31
385,2022-03-19,28
386,2022-03-18,25
387,2022-03-17,27
388,2022-03-16,24
389,2022-03-15,21
390,2022-03-14,23
391,2022-03-13,21
392,2022-03-12,22
393,2022-03-11,22
394,2022-03-10,28
395,2022-03-09,22
396,2022-03-08,21
397,2022-03-07,23
398,2022-03-06,22
399,2022-03-05,22
400,2022-03-04,33
401,2022-03-03,39
402,2022-03-02,52
403,2022-03-01,51
404,2022-02-28,20
405,2022-02-27,26
406,2022-02-26,26
407,2022-02-25,27
408,2022-02-24,23
409,2022-02-23,25
410,2022-02-22,20
411,2022-02-21,25
412,2022-02-20,27
413,2022-02-19,25
414,2022-02-18,30
415,2022-02-17,52
416,2022-02-16,51
417,2022-02-15,46
418,2022-02-14,46
419,2022-02-13,44
420,2022-02-12,44
421,2022-02-11,50
422,2022-02-10,50
423,2022-02-09,54
424,2022-02-08,48
425,2022-02-07,45
426,2022-02-06,37
427,2022-02-05,33
428,2022-02-04,20
429,2022-02-03,20
430,2022-02-02,28
431,2022-02-01,26
432,2022-01-31,20
433,2022-01-30,29
434,2022-01-29,24
435,2022-01-28,24
436,2022-01-27,20
437,2022-01-26,23
438,2022-01-25,12
439,2022-01-24,13
440,2022-01-23,11
441,2022-01-22,13
442,2022-01-21,19
443,2022-01-20,24
444,2022-01-19,24
445,2022-01-18,24
446,2022-01-17,22
447,2022-01-16,21
448,2022-01-15,23
449,2022-01-14,21
450,2022-01-13,21
451,2022-01-12,22
452,2022-01-11,21
453,2022-01-10,23
454,2022-01-09,23
455,2022-01-08,10
456,2022-01-07,18
457,2022-01-06,15
458,2022-01-05,24
459,2022-01-04,23
460,2022-01-03,29
461,2022-01-02,29
462,2022-01-01,21
463,2021-12-31,28
464,2021-12-30,22
465,2021-12-29,27
466,2021-12-28,41
467,2021-12-27,40
468,2021-12-26,37
469,2021-12-25,39
470,2021-12-24,41
471,2021-12-23,34
472,2021-12-22,45
473,2021-12-21,27
474,2021-12-20,25
475,2021-12-19,29
476,2021-12-18,24
477,2021-12-17,23
478,2021-12-16,29
479,2021-12-15,28
480,2021-12-14,21
481,2021-12-13,28
482,2021-12-12,27
483,2021-12-11,16
484,2021-12-10,24
485,2021-12-09,29
486,2021-12-08,28
487,2021-12-07,25
488,2021-12-06,16
489,2021-12-05,18
490,2021-12-04,25
491,2021-12-03,31
492,2021-12-02,32
493,2021-12-01,34
494,2021-11-30,40
495,2021-11-29,33
496,2021-11-28,27
497,2021-11-27,21
498,2021-11-26,47
499,2021-11-25,32
500,2021-11-24,42
501,2021-11-23,33
502,2021-11-22,50
503,2021-11-21,49
504,2021-11-20,43
505,2021-11-19,34
506,2021-11-18,54
507,2021-11-17,52
508,2021-11-16,71
509,2021-11-15,72
510,2021-11-14,74
511,2021-11-13,72
512,2021-11-12,74
513,2021-11-11,77
514,2021-11-10,75
515,2021-11-09,84
516,2021-11-08,75
517,2021-11-07,73
518,2021-11-06,71
519,2021-11-05,73
520,2021-11-04,73
521,2021-11-03,76
522,2021-11-02,73
523,2021-11-01,74
524,2021-10-31,74
525,2021-10-30,73
526,2021-10-29,70
527,2021-10-28,66
528,2021-10-27,73
