Buy,Sell,Value
0,0,-990
0,1,-990
0,2,-990
0,3,-990
0,4,-990
0,5,-980.2897389977645
0,6,-961.0671471195517
0,7,-940.9258232424934
0,8,-881.33307516375
0,9,-829.2692194307317
0,10,-739.2993465461203
0,11,-495.8826155069909
0,12,-573.2202193499726
0,13,-596.7511528305661
0,14,-88.81654218229369
0,15,-138.7685707965611
0,16,-285.1076275595064
0,17,-622.2044574078161
0,18,-676.7351498238972
0,19,-667.2497147165406
0,20,-671.5018821986483
0,21,-561.9052856132942
0,22,-580.2490857661058
0,23,-456.0444565759134
0,24,-518.3339321065607
0,25,-591.1446441104971
0,26,-551.134333877009
0,27,-617.0530528279218
0,28,-614.5609235973741
0,29,-636.7703854037649
0,30,-647.6415440262692
0,31,-486.5737146610471
0,32,-474.30956670752494
0,33,-378.8854259717161
0,34,-392.29509867176927
0,35,-323.3663727804561
0,36,-431.8982732297459
0,37,-453.7417941994176
0,38,-541.7717549755098
0,39,-553.1205411048061
0,40,-608.9922855034855
0,41,-559.442906452154
0,42,-522.763546436368
0,43,-527.1825262078838
0,44,-491.96651407348844
0,45,-491.24802694679045
0,46,-499.9350433576735
0,47,-509.9350207324878
0,48,-452.4681752283445
0,49,-472.6191086180646
0,50,-470.9809229624249
0,51,-471.50924207747556
0,52,-476.4299252623804
0,53,-519.5441996233701
0,54,-628.3095041568573
0,55,-657.0896653032252
0,56,-659.2342503485906
0,57,-659.3644135783236
0,58,-658.523406277513
0,59,-654.7358925043079
0,60,-656.2395770425192
0,61,-655.907176780794
0,62,-656.0512569967995
0,63,-640.004940140583
0,64,-614.0667945938114
0,65,-614.083650333881
0,66,-614.3371134695195
0,67,-616.7497440807921
0,68,-616.7338767330793
0,69,-616.4663462419501
0,70,-617.0330861390479
0,71,-617.1632640519796
0,72,-617.1905440035205
0,73,-617.1904311247717
0,74,-587.8749874090101
0,75,-586.161295754293
0,76,-587.2410905988477
0,77,-588.6574185642347
0,78,-588.967462470714
0,79,-588.9523268956684
0,80,-589.0147786775902
0,81,-589.1022127318183
0,82,-589.1045240525078
0,83,-589.1765318647982
0,84,-589.1871127845243
0,85,-589.1871127845243
0,86,-589.1923479157648
0,87,-589.1923479157648
0,88,-589.1975148082399
0,89,-589.1954417442613
0,90,-589.1703359004558
0,91,-589.1812060010861
0,92,-588.8082007195744
0,93,-588.8131977537514
0,94,-588.8111235761045
0,95,-589.4362788615153
0,96,-589.4362788615153
0,97,-589.4362788615153
0,98,-589.4362788615153
0,99,-589.4362788615153
1,0,-990
1,1,-990
1,2,-990
1,3,-990
1,4,-990
1,5,-980.2897389977645
1,6,-961.0671471195517
1,7,-940.9258232424934
1,8,-881.33307516375
1,9,-829.2692194307317
1,10,-739.2993465461203
1,11,-495.8826155069909
1,12,-573.2202193499726
1,13,-596.7511528305661
1,14,-88.81654218229369
1,15,-138.7685707965611
1,16,-285.1076275595064
1,17,-622.2044574078161
1,18,-676.7351498238972
1,19,-667.2497147165406
1,20,-671.5018821986483
1,21,-561.9052856132942
1,22,-580.2490857661058
1,23,-456.0444565759134
1,24,-518.3339321065607
1,25,-591.1446441104971
