Buy,Sell,Value
1,0,1673.06
2,0,1673.06
2,1,1673.06
3,0,1673.06
3,1,1673.06
3,2,1673.06
4,0,1673.06
4,1,1673.06
4,2,1673.06
4,3,1673.06
5,0,1673.06
5,1,1673.06
5,2,1673.06
5,3,1673.06
5,4,1673.06
6,0,1673.06
6,1,1673.06
6,2,1673.06
6,3,1673.06
6,4,1673.06
6,5,1641.18
7,0,1673.06
7,1,1673.06
7,2,1673.06
7,3,1673.06
7,4,1673.06
7,5,1641.18
7,6,1598.24
8,0,1673.06
8,1,1673.06
8,2,1673.06
8,3,1673.06
8,4,1673.06
8,5,1641.18
8,6,1598.24
8,7,1792.28
9,0,1673.06
9,1,1673.06
9,2,1673.06
9,3,1673.06
9,4,1673.06
9,5,1641.18
9,6,1598.24
9,7,1792.28
9,8,1472.26
10,0,1673.06
10,1,1673.06
10,2,1673.06
10,3,1673.06
10,4,1673.06
10,5,1641.18
10,6,1577.73
10,7,1793.05
10,8,1472.93
10,9,1393.61
11,0,1673.06
11,1,1673.06
11,2,1673.06
11,3,1673.06
11,4,1673.06
11,5,1641.18
11,6,1577.73
11,7,1793.05
11,8,1472.93
11,9,1304.19
11,10,167.72
12,0,1673.06
12,1,1673.06
12,2,1673.06
12,3,1673.06
12,4,1673.06
12,5,1641.18
12,6,1516.25
12,7,1726.39
12,8,1406.74
12,9,1157.51
12,10,250.53
12,11,690.31
13,0,1673.06
13,1,1673.06
13,2,1673.06
13,3,1673.06
13,4,1673.06
13,5,1641.18
13,6,1516.25
13,7,1726.39
13,8,990.54
13,9,753.92
13,10,206.36
13,11,644.67
13,12,559.74
14,0,1673.06
14,1,1673.06
14,2,1673.06
14,3,1673.06
14,4,1673.06
14,5,1641.18
14,6,1516.25
14,7,1726.39
14,8,961.90
14,9,729.22
14,10,173.84
14,11,572.21
14,12,500.69
14,13,342.53
15,0,1673.06
15,1,1673.06
15,2,1673.06
15,3,1673.06
15,4,1673.06
15,5,1641.18
15,6,1639.75
15,7,1860.28
15,8,825.67
15,9,700.83
15,10,110.08
15,11,396.41
15,12,502.02
15,13,214.48
15,14,964.49
16,0,1673.06
16,1,1673.06
16,2,1673.06
16,3,1673.06
16,4,1673.06
16,5,1641.18
16,6,1639.75
16,7,1860.28
16,8,825.67
16,9,700.83
16,10,116.62
16,11,404.58
16,12,717.46
16,13,397.90
16,14,1266.37
16,15,1109.60
17,0,1673.06
